rank,industry,data_date,composite_score,capital_momentum,capital_momentum_score,tech_activity,tech_activity_score,external_signal_score,available_weight,ranking_status,scoring_mode,market_return_3m,market_return_3m_status,market_return_3m_growth_rate_4w,market_return_3m_momentum_status,market_return_3m_score,market_return_3m_score_source,market_return_4w,market_return_4w_status,market_return_4w_growth_rate_4w,market_return_4w_momentum_status,market_return_4w_score,market_return_4w_score_source,arxiv_paper_count_4w,arxiv_paper_count_4w_status,arxiv_paper_count_4w_growth_rate_4w,arxiv_paper_count_4w_momentum_status,arxiv_paper_count_4w_score,arxiv_paper_count_4w_score_source,github_repo_count_4w,github_repo_count_4w_status,github_repo_count_4w_growth_rate_4w,github_repo_count_4w_momentum_status,github_repo_count_4w_score,github_repo_count_4w_score_source,market_volume_change_4w,market_volume_change_4w_status,market_volume_change_4w_growth_rate_4w,market_volume_change_4w_momentum_status,nvd_cve_count_4w,nvd_cve_count_4w_status,nvd_cve_count_4w_growth_rate_4w,nvd_cve_count_4w_momentum_status,excluded_metrics,insufficient_metrics,auxiliary_metrics,missing_metrics,data_status
1,网络安全,2026-06-20,91.25,75.0,75.0,100.0,100.0,,1.0,trial,试运行评分模式,0.302877015119888,ok,,insufficient_history,75.0,latest_value,0.0030849803037056,ok,,insufficient_history,75.0,latest_value,,missing_config,,missing_config,,unavailable,10514.0,ok,,insufficient_history,100.0,latest_value,0.2350675890189326,ok,,insufficient_history,,source_error,,source_error,,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:source_error
2,人工智能,2026-06-20,79.375,87.5,87.5,75.0,75.0,,1.0,trial,试运行评分模式,0.3767519048130834,ok,,insufficient_history,91.66666666666666,latest_value,0.0635249417485841,ok,,insufficient_history,83.33333333333334,latest_value,6429.0,ok,,insufficient_history,100.0,latest_value,4069.0,ok,,insufficient_history,50.0,latest_value,0.6266076144639983,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
3,新能源汽车,2026-06-20,75.0,75.0,75.0,,,,0.35,trial,试运行评分模式,0.3268836929258207,ok,,insufficient_history,83.33333333333334,latest_value,-0.0071277863671278,ok,,insufficient_history,66.66666666666666,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.0215097390751015,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
4,旅游,2026-06-20,66.66666666666666,66.66666666666666,66.66666666666666,,,,0.35,trial,试运行评分模式,0.1063816925460872,ok,,insufficient_history,41.66666666666667,latest_value,0.0947489954078271,ok,,insufficient_history,91.66666666666666,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,0.8129542368820382,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
5,机器人,2026-06-20,66.25,49.99999999999999,49.99999999999999,75.0,75.0,,1.0,trial,试运行评分模式,0.2241992882562278,ok,,insufficient_history,66.66666666666666,latest_value,-0.0148912142762134,ok,,insufficient_history,33.33333333333333,latest_value,1486.0,ok,,insufficient_history,75.0,latest_value,8101.0,ok,,insufficient_history,75.0,latest_value,0.5062806454830764,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
6,半导体,2026-06-20,59.375,100.0,100.0,37.5,37.5,,1.0,trial,试运行评分模式,0.6861202718260424,ok,,insufficient_history,100.0,latest_value,0.1449888889794965,ok,,insufficient_history,100.0,latest_value,253.0,ok,,insufficient_history,50.0,latest_value,2054.0,ok,,insufficient_history,25.0,latest_value,0.0869218847318182,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
7,储能,2026-06-20,58.33333333333334,58.333333333333336,58.333333333333336,,,,0.35,trial,试运行评分模式,0.1483021028683455,ok,,insufficient_history,58.333333333333336,latest_value,-0.0083781805696523,ok,,insufficient_history,58.333333333333336,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.2327740426521638,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
8,物流供应链,2026-06-20,41.666666666666664,41.666666666666664,41.666666666666664,,,,0.35,trial,试运行评分模式,0.1025463454653918,ok,,insufficient_history,33.33333333333333,latest_value,-0.0108618005374506,ok,,insufficient_history,50.0,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,,insufficient_data,,insufficient_data,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_data; nvd_cve_count_4w:missing_config
9,低空经济,2026-06-20,33.33333333333333,33.33333333333333,33.33333333333333,,,,0.35,trial,试运行评分模式,0.1279374041034391,ok,,insufficient_history,50.0,latest_value,-0.0242799785463654,ok,,insufficient_history,16.666666666666664,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,1.503414091803346,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
10,医药健康,2026-06-20,27.916666666666664,33.333333333333336,33.333333333333336,25.0,25.0,,1.0,trial,试运行评分模式,0.0225052854796738,ok,,insufficient_history,25.0,latest_value,-0.0110246992153457,ok,,insufficient_history,41.66666666666667,latest_value,14.0,ok,,insufficient_history,25.0,latest_value,,missing_config,,missing_config,,unavailable,1.2312242055839495,ok,,insufficient_history,,missing_config,,missing_config,,github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
