industry,date,metric,value,source,status
人工智能,2026-04-08,news_heat,1.0,Google News 中文科技,ok
物流供应链,2026-04-08,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-05-19,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-09,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-11,market_return_3m,0.2054616302265774,人工智能ETF (159819.SZ),ok
人工智能,2026-06-11,news_heat,1.0,Google News 中文科技,ok
医药健康,2026-06-11,market_return_3m,-0.123989231320169,医药ETF (512010.SS),ok
半导体,2026-06-11,market_return_3m,0.3697750394138122,半导体ETF (512480.SS),ok
新能源汽车,2026-06-11,market_return_3m,-0.0377555896937409,新能源汽车ETF (515030.SS),ok
旅游,2026-06-11,market_return_3m,-0.2088519576416246,旅游ETF (159766.SZ),ok
机器人,2026-06-11,market_return_3m,0.0654936767803844,机器人ETF (562500.SS),ok
消费零售,2026-06-11,market_return_3m,-0.1655969328780527,消费ETF (159928.SZ),ok
物流供应链,2026-06-11,market_return_3m,-0.0958230859878799,物流ETF (516910.SS),ok
网络安全,2026-06-11,market_return_3m,0.4722502485682105,信息安全ETF (159994.SZ),ok
跨境电商,2026-06-11,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-12,news_heat,9.0,Google News 中文科技,ok
储能,2026-06-12,market_return_3m,-0.0993237114740103,储能电池ETF (159566.SZ),ok
半导体,2026-06-12,news_heat,2.0,Google News 中文科技,ok
机器人,2026-06-12,news_heat,3.0,Google News 中文科技,ok
人工智能,2026-06-13,policy_heat,0.0,configured_sources,no_match
低空经济,2026-06-13,market_return_3m,,,missing_config
低空经济,2026-06-13,news_heat,0.0,Google News 中文科技,no_match
低空经济,2026-06-13,policy_heat,0.0,configured_sources,no_match
储能,2026-06-13,news_heat,0.0,Google News 中文科技,no_match
储能,2026-06-13,policy_heat,0.0,configured_sources,no_match
医药健康,2026-06-13,news_heat,0.0,Google News 中文科技,no_match
医药健康,2026-06-13,policy_heat,0.0,configured_sources,no_match
半导体,2026-06-13,policy_heat,0.0,configured_sources,no_match
新能源汽车,2026-06-13,news_heat,0.0,Google News 中文科技,no_match
新能源汽车,2026-06-13,policy_heat,0.0,configured_sources,no_match
旅游,2026-06-13,news_heat,0.0,Google News 中文科技,no_match
旅游,2026-06-13,policy_heat,0.0,configured_sources,no_match
机器人,2026-06-13,policy_heat,0.0,configured_sources,no_match
消费零售,2026-06-13,news_heat,0.0,Google News 中文科技,no_match
消费零售,2026-06-13,policy_heat,0.0,configured_sources,no_match
物流供应链,2026-06-13,policy_heat,0.0,configured_sources,no_match
网络安全,2026-06-13,news_heat,0.0,Google News 中文科技,no_match
网络安全,2026-06-13,policy_heat,0.0,configured_sources,no_match
跨境电商,2026-06-13,market_return_3m,,,missing_config
跨境电商,2026-06-13,policy_heat,0.0,configured_sources,no_match
